"Year","PureFemale","PureMale","AppliedFemale","AppliedMale","StatsFemale","StatsMale"
1993,3,9,0,0,0,0
1994,1,12,0,0,0,0
1995,2,5,0,0,0,0
1996,0,3,0,6,3,2
1997,3,2,1,5,0,0
1998,0,1,1,4,1,1
1999,1,7,0,1,0,1
2000,1,8,1,3,1,1
2001,0,9,3,6,0,1
2002,0,5,0,9,1,2
2003,2,6,1,5,1,0
2004,2,6,3,9,1,2
2005,1,9,1,18,1,6
2006,1,8,2,15,0,0
2007,2,8,2,2,4,4
2008,0,10,0,9,0,2
2009,0,3,2,6,3,7
2010,0,6,2,8,1,2
2011,1,11,0,4,0,5
2012,2,6,2,10,3,6
2013,1,6,1,8,4,5
2014,0,10,1,7,2,4
2015,4,9,2,8,3,6
2016,0,9,1,11,2,2
2017,0,4,3,7,3,4
2018,1,8,4,4,4,5
