Person,Gender,Group,Position
"Aksamit, Anna",F,Applied Mathematics,Lecturer
"Altmann, Eduardo",M,Applied Mathematics,Associate Professor
"Cresswell, Clio",F,Applied Mathematics,Senior Lecturer
"Dullin, Holger",M,Applied Mathematics,Professor
"Goldys, Ben",M,Applied Mathematics,Professor
"Gottwald, Georg",M,Applied Mathematics,Professor
"Gubbiotti, Giorgio",M,Applied Mathematics,Research Associate
"Joshi, Nalini",F,Applied Mathematics,Professor
"Kim, Peter",M,Applied Mathematics,Associate Professor
"Lizarraga, Ian",M,Applied Mathematics,Postdoctoral Fellow
"Marangell, Robert",M,Applied Mathematics,Senior Lecturer
"Myerscough, Mary",F,Applied Mathematics,Professor
"Padden, Whayne",M,Applied Mathematics,Research Fellow
"Radnović, Milena",F,Applied Mathematics,Senior Lecturer
"Rose, Danya",M,Applied Mathematics,Postdoctoral Research Associate
"Rutkowski, Marek",M,Applied Mathematics,Professor
"Smith, Lachlan",M,Applied Mathematics,Postdoctoral Fellow
"Stephen, Sharon",F,Applied Mathematics,Associate Professor
"Tran, Dinh Thi",F,Applied Mathematics,Research Associate
"Vasil, Geoff",M,Applied Mathematics,Senior Lecturer
"Watson, Michael",M,Applied Mathematics,Postdoctoral Research Associate
"Wechselberger, Martin",M,Applied Mathematics,Professor
"Zhou, Zhou",M,Applied Mathematics,Lecturer
"Coulembier, Kevin",M,Algebra,Senior Lecturer
"Dancso, Zsuzsanna",F,Algebra,Senior Lecturer
"Easdown, David",M,Algebra,Associate Professor
"Ehrig, Michael",M,Algebra,Research Fellow
"Gobet, Thomas",M,Algebra,Postdoctoral Research Associate
"Lehrer, Gus",M,Algebra,Professor
"Liu, Ming",M,Algebra,Postdoctoral Research Associate
"Mathas, Andrew",M,Algebra,Professor
"Molev, Alexander",M,Algebra,Professor
"Nandakumar, Vinoth",M,Algebra,Research Fellow
"Naqvi, Yusra",M,Algebra,Postdoctoral Fellow
"Ramagge, Jacqui",F,Algebra,Professor and Head of School
"Romanov, Anna",F,Algebra,NSF Postdoctoral Fellow
"Thiel, Ulrich",M,Algebra,Research Fellow
"Williamson, Geordie",M,Algebra,Professor
